onset	duration	speaker	text	type	subtype	energy	energy_ratio	mic	confidence	gap_prev_ms	trp_silence_ms	interruption_gap_ms	bclatency_ms	overlap_ms	context_label
436.755	26.22	P3	yes and no I think it also depends on like the personality of people so I could say yes because like clarity helped to remove some stress but also depends of like personalities and it might also not be the most efficient tool	SPK		0.019487	1.53	mic11	manual	0.0	1337.0	1337.0		14423.0	
437.409	1.469	P4	yes	BCK				shared	manual	-25566.0			654.0	1469.0	
441.387	0.5	P2	mm-hmm	BCK				shared	manual	2509.0			4632.0	500.0	
446.993	0.5	P2	mmh	BCK				shared	manual	5106.0			10238.0	722.0	
447.271	0.5	P2	mmh	BCK				shared	manual	-222.0			10516.0	722.0	
457.218	1.011	P2	Yeah.	SPK		0.019907	5.42	mic10	manual	9447.0	-5757.0	-5757.0		2022.0	
457.218	1.011	P2	[OVL:floor_fight]	OVL	floor_fight			shared	confident	-1011.0				2022.0	
458.259	4.784	P2	Because I feel like a lot of stress, it comes from like...	SPK		0.026096	4.59	mic10	manual	30.0	30.0	-4716.0		9432.0	
458.259	4.716	P2	[OVL:floor_fight]	OVL	floor_fight			shared	confident	-4784.0				9432.0	competitive
463.043	3.195	GROUP	(3.2)	SIL				shared	manual	68.0				1520.0	
464.718	1.76	P2	hm	FP				shared	manual	-1520.0				1760.0	
466.238	1.283	P2	not knowing how to communicate with others.	SPK		0.022047	5.9	mic10	manual	-240.0	3195.0	3263.0		240.0	
467.521	0.06	GROUP	(.)	SIL				shared	manual	0.0					
467.581	0.441	P2	Right?	SPK		0.018319	5.6	mic10	manual	0.0	60.0	4606.0			
468.022	0.12	GROUP	(.)	SIL				shared	manual	0.0					
468.142	4.61	P2	And, and who's like trying to figure out like, what the fuck am I supposed to be doing?	SPK		0.029793	3.16	mic10	manual	0.0	120.0	5167.0		1418.0	
469.848	0.712	P4	yeah	BCK				shared	manual	-2904.0			1706.0	712.0	
472.058	1.368	P4	yeah	BCK				shared	manual	1498.0			3916.0	1990.0	
472.74	0.65	P3	mmh	BCK				shared	manual	-686.0			4598.0	1272.0	
472.78	2.229	P4	or not having the comfort to talk	SPK		0.026498	2.11	mic10	manual	-610.0	28.0	28.0		3274.0	
474.0	6.432	P2	or not having the the tools in your in your backpack to know how to like confront or talk to other	SPK				shared	manual	-1009.0	-1009.0	-1009.0		3382.0	
474.0	1.009	P2	[OVL:floor_fight]	OVL	floor_fight			shared	uncertain	-6432.0				2018.0	
478.379	0.5	P4	yeah	BCK				shared	manual	3370.0			4379.0	500.0	
480.0	3.0	P1	So talking to others can help you relieve stress	SPK				shared	manual	1121.0	-432.0	-432.0		864.0	
480.0	0.432	P1	[OVL:smooth]	OVL	smooth			shared	uncertain	-3000.0				864.0	
483.0	0.581	GROUP	(0.6)	SIL				shared	manual	2568.0					
483.581	1.739	P1	Is that what you’re trying to say?	SPK				shared	manual	0.0	581.0	3149.0		1520.0	
