group_id	task_id	window_index	hmm_state
grp-11	T2	21	0
grp-11	T2	22	4
grp-11	T2	23	0
grp-11	T2	24	4
grp-11	T2	25	3
grp-11	T2	26	0
grp-11	T2	27	4
grp-11	T2	28	3
grp-11	T2	29	3
grp-11	T2	30	3
grp-11	T2	31	3
grp-11	T3	0	5
grp-11	T3	1	5
grp-11	T3	2	5
grp-11	T3	3	5
grp-11	T3	4	5
grp-11	T3	5	5
grp-11	T3	6	5
grp-11	T3	7	5
grp-11	T3	8	5
grp-11	T3	9	2
grp-11	T3	10	2
grp-11	T3	11	2
grp-11	T3	12	2
grp-11	T3	13	2
grp-11	T3	14	2
grp-11	T3	15	2
grp-11	T3	16	2
grp-11	T3	17	3
grp-11	T3	18	3
grp-11	T3	19	3
grp-12	T1	7	1
grp-12	T1	8	1
grp-12	T1	9	1
grp-12	T1	10	1
grp-12	T1	11	1
grp-12	T1	12	1
grp-12	T1	13	1
grp-12	T1	14	1
grp-12	T1	15	1
grp-12	T1	16	1
grp-12	T1	17	1
grp-12	T1	18	1
grp-12	T1	19	1
grp-12	T1	20	1
grp-12	T1	21	1
grp-12	T1	22	3
grp-12	T1	23	3
grp-12	T1	24	3
grp-12	T2	3	4
grp-12	T2	4	4
grp-12	T2	5	4
grp-12	T2	6	0
grp-12	T2	7	0
grp-12	T2	8	0
grp-12	T2	9	3
grp-12	T2	10	4
grp-12	T2	11	4
grp-12	T2	12	4
grp-12	T2	13	0
grp-12	T2	14	4
grp-12	T2	15	4
grp-12	T2	16	0
grp-12	T2	17	0
grp-12	T2	18	0
grp-12	T2	19	0
grp-12	T2	20	0
grp-12	T2	21	0
grp-12	T2	22	0
grp-12	T2	23	0
grp-12	T2	24	0
grp-12	T2	25	0
grp-12	T2	26	0
grp-12	T2	27	4
grp-12	T2	28	3
grp-12	T2	29	3
grp-12	T2	30	3
grp-12	T3	9	5
grp-12	T3	10	2
grp-12	T3	11	2
grp-12	T3	12	2
grp-12	T3	13	2
grp-12	T3	14	2
grp-12	T3	15	2
grp-12	T3	16	2
grp-12	T3	17	2
