group_id	task_id	window_index	window_start_s	group_hr_mean_bpm_mean	group_eda_phasic_rate_hz_mean	group_temp_mean_mean	group_et_pupil_mean_mean	tr_silence_duration_s	tr_backchannel_count	tr_laughter_count	tr_n_active_speakers	tr_ovl_count	tr_ovl_contested	tr_ovl_time_s	tr_ovl_collaboration_index	lex_word_count	lex_unique_words	lex_ttr	lex_bigram_entropy	lex_trigram_entropy	lex_agreement_count	lex_hedging_count	lex_certainty_count	lex_positive_count	lex_negative_count	lex_question_count	lex_suggestion_count	lex_sentiment_ratio	lex_social_composite
grp-07	T3	5	150.0	64.6851	0.3507	36.0988	2.9111	3.3	1.0	0.0	3.0	15.0	11.0	63.78	0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
grp-07	T3	6	180.0	64.2122	0.3669	36.104	2.9126	9.913	4.0	0.0	4.0	2.0	2.0	2.224	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
grp-07	T3	7	210.0	69.636	0.3002	36.1086	3.061	2.744	3.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
grp-07	T3	8	240.0	71.203	0.3175	36.117	3.2036	17.852	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
grp-07	T3	9	270.0	73.9765	0.3255	36.1386	2.8095	2.074	2.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
grp-07	T3	10	300.0	72.7958	0.3253	36.1538	2.4634	7.853	1.0	1.0	4.0	0.0	0.0	0.0	0.0	37.0	32.0	0.8648648648648649	5.114369445886754	5.129283016944964	0.0	3.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
grp-07	T3	11	330.0	68.0865	0.2503	36.1566	2.575	1.081	0.0	1.0	2.0	0.0	0.0	0.0	0.0	101.0	68.0	0.6732673267326733	6.52875843973147	6.62935662007962	12.0	6.0	0.0	2.0	0.0	4.0	1.0	0.6666666666666666	0.1386138613861386
grp-07	T3	12	360.0	61.1828	0.2421	36.1539	2.7049	1.107	2.0	1.0	2.0	0.0	0.0	0.0	0.0	59.0	45.0	0.7627118644067796	5.7415174175040615	5.797802294866491	7.0	5.0	0.0	2.0	1.0	2.0	0.0	0.25	0.1525423728813559
grp-08	T1	0	0.0	55.8618	0.0835	36.4406	2.7473	10.987	0.0	0.0	2.0	3.0	3.0	3.352	0.3333333333333333	7.0	6.0	0.8571428571428571	2.584962500721156	2.321928094887362	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0
grp-08	T1	1	30.0	58.0224	0.0501	36.4571	2.7319	3.296	0.0	0.0	0.0	1.0	0.0	0.315	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
grp-08	T1	2	60.0	59.0808	0.025	36.4674	2.7373	7.067	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
grp-08	T1	3	90.0	62.8582	0.0	36.4723	2.7227	79.919	1.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5
grp-08	T1	5	150.0	57.9605	0.05	36.4781	2.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
grp-08	T1	6	180.0	53.9251	0.025	36.4722	2.4814	4.666	0.0	0.0	1.0	1.0	1.0	0.678	0.0	58.0	42.0	0.7241379310344828	5.797802294866491	5.807354922057609	0.0	4.0	0.0	1.0	0.0	0.0	0.0	0.5	0.0172413793103448
grp-08	T1	7	210.0	58.908	0.0418	36.4741	2.4894	1.421	0.0	0.0	1.0	4.0	1.0	1.897	0.25	53.0	40.0	0.7547169811320755	5.623516641218019	5.6724253419715005	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.5	0.0377358490566037
grp-08	T1	8	240.0	62.5473	0.0417	36.484	2.5188	3.322	0.0	0.0	1.0	2.0	0.0	0.703	0.5	49.0	38.0	0.7755102040816326	5.5432958340544936	5.55458885167764	2.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0408163265306122
grp-08	T1	9	270.0	61.2109	0.0834	36.4911	2.5927	6.562	0.0	0.0	2.0	5.0	2.0	2.203	0.4	133.0	86.0	0.6466165413533834	6.93261466858448	7.002888650392412	3.0	3.0	0.0	1.0	0.0	0.0	0.0	0.5	0.0300751879699248
grp-08	T1	10	300.0	56.6509	0.1086	36.4909	2.7719	1.4	4.0	1.0	1.0	0.0	0.0	0.0	0.0	31.0	28.0	0.9032258064516128	4.906890595608519	4.857980995127571	3.0	1.0	0.0	2.0	0.0	0.0	0.0	0.6666666666666666	0.1612903225806451
grp-08	T1	11	330.0	54.9905	0.1335	36.4811	2.9431	7.09	0.0	0.0	2.0	0.0	0.0	0.0	0.0	23.0	22.0	0.9565217391304348	4.459431618637295	4.39231742277876	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0434782608695652
grp-08	T1	12	360.0	58.1877	0.1417	36.4752	2.9912	9.526	0.0	0.0	1.0	2.0	0.0	0.733	0.0	106.0	76.0	0.7169811320754716	6.676150279570875	6.700439718141103	5.0	6.0	2.0	3.0	0.0	0.0	0.0	0.75	0.0754716981132075
grp-08	T1	13	390.0	60.5814	0.2002	36.4763	2.9711	5.038	0.0	0.0	1.0	4.0	1.0	1.441	0.25	22.0	21.0	0.9545454545454546	4.39231742277876	4.321928094887363	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0
grp-08	T1	14	420.0	60.2499	0.1503	36.4548	2.9953	8.531	0.0	0.0	3.0	0.0	0.0	0.0	0.0	68.0	44.0	0.6470588235294118	5.94668620538314	6.014091089055431	4.0	3.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0588235294117647
grp-08	T1	15	450.0	62.7455	0.0584	36.4469	2.9963	7.665	1.0	0.0	2.0	0.0	0.0	0.0	0.0	76.0	57.0	0.75	6.202152023829224	6.2094533656289554	4.0	6.0	0.0	1.0	0.0	0.0	0.0	0.5	0.0657894736842105
grp-08	T1	16	480.0	65.4953	0.075	36.4475	2.9313	15.988	0.0	0.0	2.0	0.0	0.0	0.0	0.0	31.0	28.0	0.9032258064516128	4.906890595608519	4.857980995127571	1.0	3.0	0.0	2.0	0.0	0.0	0.0	0.6666666666666666	0.0967741935483871
grp-08	T1	17	510.0	61.5801	0.0668	36.4528	2.9172	18.239	1.0	2.0	4.0	0.0	0.0	0.0	0.0	24.0	21.0	0.875	4.523561956057013	4.459431618637295	4.0	2.0	0.0	1.0	0.0	2.0	1.0	0.5	0.2083333333333333
grp-08	T1	18	540.0	59.8332	0.0668	36.4581	2.9675	23.491	0.0	0.0	2.0	0.0	0.0	0.0	0.0	10.0	8.0	0.8	3.169925001442312	3.0	3.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.3
grp-08	T1	19	570.0	58.385	0.0917	36.4515	2.9804	117.575	0.0	1.0	4.0	0.0	0.0	0.0	0.0	18.0	15.0	0.8333333333333334	4.08746284125034	4.0	4.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.2222222222222222
grp-08	T1	23	690.0	70.248	0.1169	36.4994	2.879	8.353	0.0	0.0	2.0	0.0	0.0	0.0	0.0	14.0	13.0	0.9285714285714286	3.7004397181410926	3.584962500721156	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.1428571428571428
grp-08	T1	24	720.0	66.6971	0.1168	36.5191	2.9058	21.316	0.0	0.0	2.0	0.0	0.0	0.0	0.0	9.0	9.0	1.0	3.0	2.807354922057604	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1111111111111111
grp-08	T1	25	750.0	66.6107	0.1001	36.5171	2.8373	10.929	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.0	31.0	0.775	5.182838116298145	5.247927513443589	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025
grp-08	T1	26	780.0	67.4336	0.0501	36.5044	2.8315	16.971	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	15.0	0.7142857142857143	4.221928094887362	4.247927513443583	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0476190476190476
