session_id	task	participant_a	participant_b	metric	window_count	corr	best_lag_corr	best_lag_windows
ses-20260313_grp-08_run01	T1	P2	P3	eda_mean	55	-0.18033383886327525	-0.1617843971307717	-1
ses-20260313_grp-08_run01	T1	P2	P3	ppg_rate_proxy_bpm	55	0.1862513990236507	0.3034973905306278	-2
ses-20260313_grp-08_run01	T1	P2	P3	pupil_mean	54	0.8017530696498041	0.8017530696498041	0
ses-20260313_grp-08_run01	T1	P2	P4	eda_mean	55	-0.2426626973015928	-0.03995603322913842	-2
ses-20260313_grp-08_run01	T1	P2	P4	ppg_rate_proxy_bpm	55	0.03180687273256481	0.19804714103403093	1
ses-20260313_grp-08_run01	T1	P2	P4	pupil_mean	53	0.7134097259562933	0.7134097259562933	0
ses-20260313_grp-08_run01	T1	P3	P4	eda_mean	55	0.8197309892131333	0.8280900139634899	2
ses-20260313_grp-08_run01	T1	P3	P4	ppg_rate_proxy_bpm	55	0.08097759434506659	0.08297877559846455	-2
ses-20260313_grp-08_run01	T1	P3	P4	pupil_mean	54	0.7479252891630968	0.7479252891630968	0
ses-20260313_grp-08_run01	T2	P1	P2	eda_mean	65	-0.012717687226393274	0.003916127261442467	-2
ses-20260313_grp-08_run01	T2	P1	P2	ppg_rate_proxy_bpm	65	-0.0494414256101868	0.10019941868319568	-1
ses-20260313_grp-08_run01	T2	P1	P2	pupil_mean	60	0.5538516784944525	0.5538516784944525	0
ses-20260313_grp-08_run01	T2	P1	P3	eda_mean	65	0.5225512014559694	0.5919794131706966	-2
ses-20260313_grp-08_run01	T2	P1	P3	ppg_rate_proxy_bpm	65	0.2627218141967184	0.33309569737127853	-1
ses-20260313_grp-08_run01	T2	P1	P3	pupil_mean	60	0.7845452000332607	0.7845452000332607	0
ses-20260313_grp-08_run01	T2	P1	P4	eda_mean	65	0.24056596538895406	0.3554416406069127	-2
ses-20260313_grp-08_run01	T2	P1	P4	ppg_rate_proxy_bpm	65	-0.13055704308890365	0.23818159658688634	2
ses-20260313_grp-08_run01	T2	P1	P4	pupil_mean	60	0.5723853390249812	0.5723853390249812	0
ses-20260313_grp-08_run01	T2	P2	P3	eda_mean	65	0.02170200781212865	0.1522663580802264	-2
ses-20260313_grp-08_run01	T2	P2	P3	ppg_rate_proxy_bpm	65	-0.16264743648520563	0.3087302715402785	2
ses-20260313_grp-08_run01	T2	P2	P3	pupil_mean	59	0.5805060566258898	0.5805060566258898	0
ses-20260313_grp-08_run01	T2	P2	P4	eda_mean	65	-0.060096032628254296	0.03045803761725385	2
ses-20260313_grp-08_run01	T2	P2	P4	ppg_rate_proxy_bpm	65	-0.040923852042224686	0.20204531386458177	-2
ses-20260313_grp-08_run01	T2	P2	P4	pupil_mean	60	0.5593746010793463	0.5593746010793463	0
ses-20260313_grp-08_run01	T2	P3	P4	eda_mean	65	0.5937855178842092	0.6647546220876842	-2
ses-20260313_grp-08_run01	T2	P3	P4	ppg_rate_proxy_bpm	65	-0.11099501434186793	0.13254935885779198	2
ses-20260313_grp-08_run01	T2	P3	P4	pupil_mean	60	0.675025305084894	0.675025305084894	0
ses-20260313_grp-08_run01	T3	P1	P2	eda_mean	62	0.337340691059185	0.337340691059185	0
ses-20260313_grp-08_run01	T3	P1	P2	ppg_rate_proxy_bpm	62	-0.2524393996776069	0.05954400064963804	-2
ses-20260313_grp-08_run01	T3	P1	P2	pupil_mean	62	0.6047934384532768	0.6047934384532768	0
ses-20260313_grp-08_run01	T3	P1	P3	eda_mean	62	-0.2131095589480609	0.04981365783183735	2
ses-20260313_grp-08_run01	T3	P1	P3	ppg_rate_proxy_bpm	62	0.025868063216030773	0.025868063216030773	0
ses-20260313_grp-08_run01	T3	P1	P3	pupil_mean	62	0.7868049875722791	0.7868049875722791	0
ses-20260313_grp-08_run01	T3	P1	P4	eda_mean	62	-0.18380595385607976	-0.18178082069993867	1
ses-20260313_grp-08_run01	T3	P1	P4	ppg_rate_proxy_bpm	62	0.16494364486813204	0.26267768688119836	2
ses-20260313_grp-08_run01	T3	P1	P4	pupil_mean	62	0.28616456046789934	0.37145439031593863	-1
ses-20260313_grp-08_run01	T3	P2	P3	eda_mean	62	-0.46922509953998853	-0.09521228717931444	2
ses-20260313_grp-08_run01	T3	P2	P3	ppg_rate_proxy_bpm	62	-0.18637169877669127	0.1245181966564738	-2
ses-20260313_grp-08_run01	T3	P2	P3	pupil_mean	62	0.6038673270613955	0.6169328260055308	-1
ses-20260313_grp-08_run01	T3	P2	P4	eda_mean	62	-0.3834308642258027	-0.35498895626995935	2
ses-20260313_grp-08_run01	T3	P2	P4	ppg_rate_proxy_bpm	62	-0.10000184650191736	0.008029283280703067	1
ses-20260313_grp-08_run01	T3	P2	P4	pupil_mean	62	0.29722979864965104	0.3290295799816071	-2
ses-20260313_grp-08_run01	T3	P3	P4	eda_mean	62	0.11704414672318185	0.21039920405072585	2
ses-20260313_grp-08_run01	T3	P3	P4	ppg_rate_proxy_bpm	62	0.13564640330260636	0.13564640330260636	0
ses-20260313_grp-08_run01	T3	P3	P4	pupil_mean	62	0.3874763713145224	0.43263578510131795	-1
ses-20260313_grp-08_run01	T4	P1	P2	eda_mean	30	-0.2312046391360009	-0.027828729087259464	2
ses-20260313_grp-08_run01	T4	P1	P2	ppg_rate_proxy_bpm	30	0.20634489460149263	0.2975988445208348	-1
ses-20260313_grp-08_run01	T4	P1	P2	pupil_mean	30	0.861301451313926	0.8715279957927001	-1
ses-20260313_grp-08_run01	T4	P1	P3	eda_mean	30	-0.16625133214106697	0.005951739321795456	-2
ses-20260313_grp-08_run01	T4	P1	P3	ppg_rate_proxy_bpm	30	-0.11484632062672138	0.09320054429253753	2
ses-20260313_grp-08_run01	T4	P1	P3	pupil_mean	30	0.8273453340684774	0.855103546675179	-1
ses-20260313_grp-08_run01	T4	P1	P4	eda_mean	30	-0.2457645788808067	0.48023575139428504	-2
ses-20260313_grp-08_run01	T4	P1	P4	ppg_rate_proxy_bpm	30	0.24699622793880088	0.27304928725168404	1
ses-20260313_grp-08_run01	T4	P1	P4	pupil_mean	30	0.6750960956223411	0.7509966204227643	-2
ses-20260313_grp-08_run01	T4	P2	P3	eda_mean	30	-0.029338070872198384	0.0963039190913419	2
ses-20260313_grp-08_run01	T4	P2	P3	ppg_rate_proxy_bpm	30	0.029448210740474528	0.035547280641508104	1
ses-20260313_grp-08_run01	T4	P2	P3	pupil_mean	30	0.8742094737435383	0.8742094737435383	0
ses-20260313_grp-08_run01	T4	P2	P4	eda_mean	30	-0.6271684010180133	0.005590442993610287	2
ses-20260313_grp-08_run01	T4	P2	P4	ppg_rate_proxy_bpm	30	0.03754336327503718	0.39770326469876077	-2
ses-20260313_grp-08_run01	T4	P2	P4	pupil_mean	30	0.7365324244655704	0.7365324244655704	0
ses-20260313_grp-08_run01	T4	P3	P4	eda_mean	30	0.18895091043849854	0.2683179106905127	-2
ses-20260313_grp-08_run01	T4	P3	P4	ppg_rate_proxy_bpm	30	-0.21591273333180588	0.05723439300346078	2
ses-20260313_grp-08_run01	T4	P3	P4	pupil_mean	30	0.7783848133554926	0.7783848133554926	0
ses-20260317_grp-09_run01	T1	P1	P2	pupil_mean	4	-0.2610436651853858	0.517726583906639	1
ses-20260317_grp-09_run01	T1	P1	P3	pupil_mean	4	0.9770240040478008	0.9978580401942726	1
ses-20260317_grp-09_run01	T1	P1	P4	pupil_mean	4	-0.8931958810115682	-0.8785097184911426	1
ses-20260317_grp-09_run01	T1	P2	P3	pupil_mean	4	-0.46032150728272686	0.4984899265202228	-1
ses-20260317_grp-09_run01	T1	P2	P4	pupil_mean	4	0.4861429560242755	0.9393888409714166	1
ses-20260317_grp-09_run01	T1	P3	P4	pupil_mean	4	-0.9336286970743959	-0.8889599544064387	1
ses-20260317_grp-09_run01	T2	P1	P2	pupil_mean	45	0.668745829678445	0.668745829678445	0
ses-20260317_grp-09_run01	T2	P1	P3	pupil_mean	45	0.592030527025227	0.592030527025227	0
ses-20260317_grp-09_run01	T2	P1	P4	pupil_mean	45	0.6719828146210167	0.6719828146210167	0
ses-20260317_grp-09_run01	T2	P2	P3	eda_mean	45	0.05408532388399169	0.28652118984375147	2
ses-20260317_grp-09_run01	T2	P2	P3	ppg_rate_proxy_bpm	45	0.03751202931173244	0.2171693012382249	2
ses-20260317_grp-09_run01	T2	P2	P3	pupil_mean	45	0.5529149849942135	0.5529469143596544	-1
ses-20260317_grp-09_run01	T2	P2	P4	pupil_mean	45	0.6787122433503481	0.6787122433503481	0
ses-20260317_grp-09_run01	T2	P3	P4	pupil_mean	45	0.9211300342935553	0.9211300342935553	0
ses-20260317_grp-09_run01	T3	P1	P2	pupil_mean	54	0.5167513061014912	0.7457177998406544	2
ses-20260317_grp-09_run01	T3	P1	P3	pupil_mean	54	0.5537913693072056	0.6133291897536001	2
