group_id	task_id	window_index	word_count	bert_umap1	bert_umap2	bert_umap3	bert_umap4	bert_umap5	bert_umap6	bert_umap7	bert_umap8	bert_umap9	bert_umap10	bert_valid
grp-08	T1	10	31	-1.6714798	5.1411915	4.119706	3.1828427	6.259069	3.4014611	3.9167485	3.4260392	5.358841	4.8631005	True
grp-08	T1	11	23	-0.8379994	4.7716746	4.1826873	3.1182551	7.1193075	2.6102908	2.8191743	2.3778033	5.261382	5.599111	True
grp-08	T1	12	106	-0.50938106	4.5211177	4.070945	3.0661626	7.3807163	2.192043	2.2590172	2.2320845	5.0834613	5.701614	True
grp-08	T1	13	22	-0.7013359	4.731568	4.2447186	2.9229956	7.1748986	2.718199	2.698832	1.917145	5.383474	5.8414536	True
grp-08	T1	14	68	-0.9424951	4.8996124	4.251255	3.1499584	6.8944874	2.8439722	3.0169997	2.4515207	5.3225822	5.5454288	True
grp-08	T1	15	76	-1.509004	5.2601466	4.4252157	3.321965	6.2177973	3.6322775	3.7558937	2.6866422	5.509844	5.461714	True
grp-08	T1	16	31	-0.8757033	4.791078	4.1453633	3.2399292	7.1536517	2.5143285	2.7982476	2.4992175	5.18334	5.5326586	True
grp-08	T1	17	24	-0.5142224	4.6698813	4.2173934	3.2893574	7.4429903	2.1910179	2.2554615	2.181206	5.2157393	5.7566314	True
grp-08	T1	18	10	-0.49273333	4.636182	4.001835	3.2906587	7.2018633	2.6692398	1.9499288	1.3024405	5.233025	6.1204867	True
grp-08	T1	19	18	-0.28176862	4.312067	3.921755	3.28237	7.6118827	1.9860698	1.7511489	2.2073016	5.248209	5.8374453	True
grp-08	T1	20	0	21.322977	3.9207036	5.4465938	6.96413	4.3768816	5.4061756	3.8945947	4.651763	5.4605417	4.407127	False
grp-08	T1	21	0	21.485361	3.9887495	5.470492	6.819287	4.2771673	5.347518	3.5835161	4.302118	5.572436	4.77238	False
grp-08	T1	22	0	21.246546	3.9095595	5.5889425	6.826235	4.0612035	5.4811707	3.7204912	4.295146	5.4392395	4.752427	False
grp-08	T1	23	14	-0.3669546	5.180302	4.8855987	3.1876585	7.4769764	2.56004	2.4240026	1.2233046	5.627612	6.252813	True
grp-08	T1	24	9	-0.18019061	3.8692808	3.7166896	2.5654607	7.6351976	2.192761	1.881217	2.0951297	5.4558935	5.9459085	True
grp-08	T1	25	40	-0.30524963	4.12121	3.8883147	2.7391984	7.8004413	2.1419666	2.0662465	2.0181785	5.510622	5.9005046	True
grp-08	T1	26	21	-0.18013032	4.006716	3.8779247	2.566882	7.735604	2.1477249	1.9885443	2.0588953	5.5247803	5.968343	True
grp-08	T1	27	31	-0.2343618	4.3578243	4.139875	3.1364188	7.732418	1.9845916	1.9116604	2.099628	5.3697596	5.8999887	True
grp-08	T1	28	3	-0.18992819	3.6941674	3.412961	2.7976432	7.044142	2.5436885	1.5959809	2.293463	5.2559266	5.949504	True
grp-08	T2	0	7	-0.30705225	4.2270675	4.1239777	2.2312994	7.591725	2.4566467	2.393901	1.6217012	5.449323	6.0654297	True
grp-08	T2	1	0	21.37278	3.911216	5.538846	6.8382893	4.258232	5.3501043	3.595772	4.634682	5.7344027	4.6000347	False
grp-08	T2	2	1	-0.1794247	3.7371593	3.371927	2.9645011	7.0489497	2.4595165	1.4586734	2.327864	5.1972523	5.941022	True
grp-08	T2	3	15	-0.28941157	4.209321	4.121593	2.2103953	7.5736337	2.48527	2.3834383	1.6089714	5.4637523	6.0897136	True
grp-08	T2	4	12	-1.1642752	4.7199407	3.8589206	3.3784096	5.5497417	4.2903695	2.513992	1.4382601	5.4007573	6.186822	True
grp-08	T2	5	56	-1.0875553	5.4575725	5.110645	3.3795109	4.934516	4.8343062	3.1398249	2.0087707	6.235281	5.990121	True
grp-08	T2	6	71	-1.4698699	5.464608	4.5176888	3.6248624	5.820191	4.2247505	3.3728395	1.7125324	5.6509495	6.055283	True
grp-08	T2	7	96	-1.1292295	5.428582	5.066853	3.4041593	4.929662	4.8201346	3.1216788	2.0468566	6.202186	5.9602003	True
grp-08	T2	8	2	-0.23609273	3.8960114	3.7033114	2.5375137	7.7835636	2.1945288	1.9680104	1.9292415	5.5423183	5.9534783	True
grp-08	T2	9	0	21.227442	3.8885715	5.4683514	6.984429	4.3734055	5.1769176	3.7028275	4.4860363	5.7979116	4.5877104	False
grp-08	T2	10	40	-1.288084	5.7746315	4.843017	3.677543	5.5865574	4.6198945	3.2977538	1.2740455	6.0285606	6.255424	True
grp-08	T2	11	53	-0.29639918	4.354162	4.0017066	3.2666829	7.7287927	1.9788884	1.8150874	2.1547363	5.374909	5.860719	True
grp-08	T2	12	102	-0.43188667	4.7053127	4.2886276	3.3788292	7.5256667	2.0242276	2.152132	2.1893034	5.1478424	5.7532463	True
grp-08	T2	13	46	-0.8115328	5.711098	4.9334397	3.4108706	5.4235063	4.308072	3.0846534	1.8998839	5.999857	5.673251	True
grp-08	T2	14	107	-0.979461	5.5020657	4.9723606	3.4199915	5.129716	4.502026	2.9680052	2.0960593	6.0751524	5.7422266	True
grp-08	T2	15	79	-0.8198421	5.5763454	4.904588	3.352576	5.35844	4.3009415	3.1881504	2.2025952	5.957476	5.6180987	True
grp-08	T2	16	52	-0.80143404	5.7315216	4.8722434	3.3885274	5.4637756	4.262494	3.2478065	2.0518687	5.928679	5.5857143	True
grp-08	T2	17	79	-0.9874753	5.7901273	4.9542437	3.4802916	4.8444357	4.7785854	3.2761838	2.1916015	6.111131	5.531217	True
grp-08	T2	18	39	-0.28036338	4.248592	3.8620818	3.2075496	7.550166	2.0184956	1.7608542	2.2565536	5.21885	5.8194036	True
grp-08	T2	19	110	-0.3120327	4.8188467	4.565809	3.4753914	7.7475	1.8943604	2.0130706	1.9833894	5.365516	5.9203253	True
grp-08	T2	20	70	-1.5685691	5.7401977	5.0218587	3.7922747	5.609916	4.8158445	3.4657238	1.0679424	6.2268796	6.598186	True
grp-08	T2	21	94	-1.4453204	5.7162933	5.02244	3.7158175	5.6391044	4.7351837	3.3852408	1.094486	6.217305	6.533832	True
grp-08	T2	22	66	-1.5235952	5.757405	4.9516487	3.738987	5.5446773	4.821589	3.4481533	1.1948007	6.176711	6.427186	True
grp-08	T2	23	81	-0.21841541	4.2432513	3.9006977	3.203083	7.6079326	1.9386903	1.6958902	2.164092	5.1577134	5.844878	True
grp-08	T2	24	15	-0.28600946	3.9666045	3.7881432	2.5613143	7.6838427	2.204952	2.0445173	2.060442	5.436203	5.9022074	True
grp-08	T2	25	18	-0.28998682	4.2475734	3.9914856	2.823767	8.004227	2.1437714	2.0301535	1.7986753	5.6763983	6.0132637	True
grp-08	T2	26	15	-0.21185537	4.228232	3.9957147	2.5798144	7.9381423	2.2718885	2.004696	1.4468807	5.609675	6.1504774	True
grp-08	T2	27	4	-0.100389674	4.0987544	3.96997	2.3511941	7.7842646	2.2289798	1.9585675	1.5053471	5.424055	6.145333	True
grp-08	T2	28	8	-0.17339958	3.8751647	3.7704833	2.4465852	7.527391	2.3568406	1.9511762	2.0538673	5.502008	6.020829	True
grp-08	T2	29	17	-0.20084235	3.9629557	3.8224237	2.5272145	7.7411385	2.1913712	1.9846244	1.982686	5.520203	5.978071	True
grp-08	T2	30	32	-0.2951469	4.2024283	3.9653177	2.8983698	7.8484845	2.056802	2.0164979	2.0869749	5.518511	5.88984	True
grp-08	T2	31	29	-0.2857786	4.515813	4.2573853	3.1717782	7.757217	1.9606283	2.016737	2.0249465	5.3287973	5.8816414	True
grp-08	T2	32	5	-0.42788482	4.8985195	4.5396	3.4210894	7.577867	2.0791938	2.2199445	1.9935249	5.2784457	5.869846	True
grp-08	T2	33	1	-0.14376183	3.749556	3.3947933	3.001642	7.072098	2.4187665	1.4221839	2.361247	5.2278814	5.957603	True
grp-08	T3	0	0	21.172462	3.7079678	5.3252945	6.8933344	4.2931514	5.126179	3.8214502	4.6392345	5.6973414	4.7087717	False
grp-08	T3	1	0	21.166067	4.077387	5.420688	7.008896	4.309064	5.2350745	3.710697	4.6550245	5.5259924	4.758391	False
grp-08	T3	2	42	-0.23268004	3.994856	3.5429602	3.1204944	7.2836103	2.2855775	1.5293622	2.183073	5.2298784	5.906913	True
grp-08	T3	3	21	-0.1367735	3.7549205	3.4033954	3.0524564	7.081872	2.3716686	1.3836545	2.392844	5.210768	5.9335723	True
grp-08	T3	4	0	21.141428	3.7585976	5.364975	6.9452696	4.1731505	5.4665947	3.614315	4.3706775	5.4305725	4.575984	False
grp-08	T3	5	1	0.022537645	4.7689123	4.7251477	3.1193213	7.709915	1.8945656	1.8678619	1.5966566	5.353447	6.1264534	True
grp-08	T3	6	0	21.171553	3.9948468	5.405789	6.907081	4.305376	5.3568273	3.7041922	4.6352425	5.6761737	4.461322	False
grp-08	T3	7	0	21.375639	3.793676	5.510661	7.036204	4.1534314	5.280982	3.7664957	4.4009023	5.3059044	4.5158057	False
grp-08	T3	8	0	21.233253	4.009945	5.1471877	6.6595964	4.269373	5.307651	3.661084	4.177754	5.5841484	4.5909586	False
grp-08	T3	9	0	21.173693	4.0114903	5.545462	6.8737473	4.4052362	5.3032937	3.6947634	4.3615613	5.6402135	4.431013	False
grp-08	T3	10	0	21.202513	3.8983712	5.4443517	6.830532	4.116734	5.523259	3.7518873	4.5342913	5.7475815	4.4476075	False
grp-08	T3	11	17	-0.29456136	3.9052935	3.5587654	2.838082	7.401863	2.2750907	1.7781205	2.0750217	5.193302	5.880022	True
grp-08	T3	12	2	-0.21725807	3.7094343	3.3908622	2.9004753	6.9268837	2.5948334	1.5460877	2.3433077	5.190392	5.9526978	True
grp-08	T3	13	37	-0.90598273	4.802939	4.166381	3.4105854	6.2662845	3.5775673	2.4019024	1.5753279	5.485321	6.1913543	True
grp-08	T3	14	21	-0.486707	4.172554	3.5964313	3.1396952	7.0766664	2.5711346	1.8818955	2.0458114	5.1622176	5.8811545	True
grp-08	T3	15	76	-0.6110792	5.717927	5.0726204	3.5010011	6.432554	3.6779902	2.751259	0.940154	5.902656	6.2761517	True
grp-08	T3	16	122	-0.40098402	5.6466665	5.0820527	3.4838665	7.083898	3.1753058	2.4690287	0.5287255	5.7818604	6.4969554	True
grp-08	T3	17	93	-0.3183513	5.594361	4.8837805	3.6573005	7.488853	2.8599436	2.123976	0.3017301	5.717716	6.560217	True
grp-08	T3	18	63	-0.35992673	5.5579653	4.837711	3.566476	7.5807247	2.8707542	2.1729634	0.2743892	5.804347	6.5362144	True
grp-08	T3	19	52	-0.438842	5.492459	4.7731085	3.4419186	7.508711	3.0605476	2.2668195	0.26552978	5.929201	6.5230637	True
grp-08	T3	20	41	-0.42442605	5.507755	4.9348445	3.5842113	7.3952613	2.7860003	2.3562596	0.74652696	5.567473	6.4175014	True
grp-08	T3	21	70	-0.28769928	5.3073936	4.9463816	3.3165596	7.643167	2.4641066	2.2934296	0.9386979	5.573763	6.348643	True
grp-08	T3	22	129	-0.35354868	5.5850525	4.896799	3.5765824	7.6007414	2.804012	2.1967065	0.33790416	5.767193	6.524757	True
grp-08	T3	23	50	-0.3201914	5.5185804	4.7901835	3.6069925	7.5615687	2.8463602	2.0774112	0.23410541	5.735928	6.5582952	True
grp-08	T3	24	117	-0.2962662	5.259025	5.032243	3.1483886	7.4031663	2.5580735	2.425341	1.1450812	5.621246	6.3158703	True
grp-08	T3	25	55	-0.49219367	5.325482	4.701416	3.3848355	7.605505	2.7480543	2.3660378	0.84248257	5.745484	6.305744	True
grp-08	T3	26	32	-0.57865757	4.990098	4.332326	3.3656158	7.2484264	2.7400677	2.30358	1.2886809	5.37851	6.129847	True
grp-08	T3	27	54	-0.4029282	4.738359	4.1863337	3.381023	7.418228	2.4401476	1.9339416	1.3645356	5.2766724	6.1036153	True
grp-08	T3	28	34	-0.32911628	3.9716547	3.7537596	2.5502675	7.6642323	2.1935418	2.0827305	2.033957	5.3309712	5.8593936	True
grp-08	T3	29	0	21.087353	3.7191877	5.4594855	6.8188386	4.338059	5.291063	3.7799988	4.420703	5.6422877	4.595538	False
grp-08	T3	30	0	21.490932	3.6987145	5.3813357	6.8613873	4.17972	5.4112854	3.6596425	4.4043427	5.4937615	4.6197977	False
grp-08	T3	31	2	-0.3182333	4.658425	4.3199453	3.359375	7.6568675	1.9148214	2.004747	2.108534	5.2011566	5.81297	True
grp-08	T4	0	0	21.35374	4.040758	5.2992096	6.8692145	4.1421814	5.235093	3.8341193	4.671065	5.4624243	4.811788	False
grp-08	T4	1	0	21.238495	4.245939	5.410229	7.0004125	4.373924	5.2984385	3.9421415	4.521123	5.7290835	4.4406686	False
grp-08	T4	2	0	21.355417	3.7510724	5.420936	7.1390357	4.294917	5.203045	3.784194	4.5787992	5.716846	4.585431	False
grp-08	T4	3	9	-0.038660437	4.0631566	3.9535987	2.454034	7.739131	2.1475563	1.8146567	1.5911227	5.3201914	6.134541	True
grp-08	T4	4	0	21.298615	3.8122714	5.2911277	7.071819	4.159076	5.4553356	3.6517038	4.445825	5.5884266	4.492718	False
grp-08	T4	5	29	0.047608618	4.08469	4.058722	2.2919583	7.762843	2.073314	1.8131	1.4074485	5.1978774	6.185162	True
grp-08	T4	6	104	0.09882486	4.1383295	4.148803	2.4342906	7.7486076	1.9008591	1.7404	1.547807	5.067058	6.130852	True
grp-08	T4	7	73	-0.07525035	4.0258617	3.8838246	2.622449	7.628813	2.098707	1.7675587	1.8895084	5.2643437	6.025434	True
grp-08	T4	8	143	0.11732883	4.358853	4.412806	2.5889266	7.8255043	1.7076114	1.8029438	1.5788759	4.973418	6.088579	True
grp-08	T4	9	95	0.20924945	4.331692	4.557176	1.9848888	7.858482	1.8607067	2.0014744	1.0491544	4.915888	6.2723956	True
grp-08	T4	10	77	0.11080326	4.235135	4.37667	1.988347	7.8441496	1.9388142	2.0382247	1.2342038	5.029574	6.2076874	True
grp-08	T4	11	55	0.056141917	4.444892	4.5170803	2.2365673	7.7159767	1.9793652	2.0856159	1.2871981	5.022872	6.1767206	True
grp-08	T4	12	36	0.1440768	4.32521	4.420738	2.4771671	7.846518	1.7080733	1.8119341	1.5227342	4.967432	6.1107974	True
grp-08	T4	13	9	-0.0201535	4.5485563	4.5931005	2.1766603	7.712627	2.1936212	2.2419758	0.99854547	5.126072	6.2718196	True
grp-08	T4	14	2	-0.17432094	3.8307443	3.4320467	2.9492276	7.3000484	2.3076563	1.4948225	2.1940823	5.265059	5.9260454	True
grp-09	T2	0	0	21.138432	3.883268	5.216564	6.9762125	4.2881145	5.2699876	3.6968896	4.5565987	5.455698	4.5995035	False
grp-09	T2	1	0	21.188591	3.837919	5.364057	6.9247737	4.264823	5.301253	3.6296592	4.4684334	5.5350375	4.555593	False
