group_id	task_id	window_index	tr_semantic_continuity	tr_cross_speaker_similarity
grp-14	T2	27	0.181588813662529	0.2275438498084744
grp-14	T3	9		
grp-14	T3	10	0.14645294845104218	0.09381715953350067
grp-14	T3	11	0.1910429298877716	0.2188033401966095
grp-14	T3	12	0.2465322408825159	0.18477455978947027
grp-14	T3	13		
grp-14	T3	14	0.12705058231949806	0.14439795762300492
grp-14	T3	15		
grp-14	T3	16	0.1665040155251821	0.17386763705872
grp-14	T3	17	0.513437807559967	0.38280389457941055
grp-14	T3	18	0.20408321265131235	0.21528247953989568
grp-14	T3	19	0.18710942100733519	0.17315034894272685
grp-14	T3	20		
grp-14	T3	21	0.33546347357332706	0.2471974829465828
grp-15	T1	6		
grp-15	T1	7	0.19008944183588028	0.21493343157427652
grp-15	T1	8	0.12489608849864453	0.1275381811428815
grp-15	T1	9	0.4679621122777462	0.24166696654124695
grp-15	T1	10	0.20078549347817898	0.16704836355832717
grp-15	T1	11	0.20668856240808964	0.2402166179248265
grp-15	T1	12	0.15704072825610638	0.19073603184599625
grp-15	T1	13	0.17343578735987344	0.18093604161045873
grp-15	T1	14	0.22978894412517548	0.23139418413241705
grp-15	T1	15		
grp-15	T1	16	0.1616513915359974	0.20488640916300938
grp-15	T1	17		
grp-15	T1	18	0.16464252024888992	0.21807039715349674
grp-15	T1	19	0.21903696407874426	0.32757238138999256
grp-15	T1	20	0.4032644838094711	0.36944839358329773
grp-15	T2	5	0.24995794147253036	0.22506621852517128
grp-15	T2	6	0.14365436136722565	0.17744127412637076
grp-15	T2	7	0.1808518636971712	0.18331560040965225
grp-15	T2	8	0.2209480255842209	0.32557737454771996
grp-15	T2	9	0.21117395162582397	0.21677056699991226
grp-15	T2	10	0.1558283418416977	0.16924723043727377
grp-15	T2	11	0.042987748980522156	0.09811384479204814
grp-15	T2	12		
grp-15	T2	13	0.31049981340765953	0.22807722787062326
grp-15	T2	14		
grp-15	T2	15	0.25654052197933197	0.3135535183052222
grp-15	T2	16	0.15624788403511047	0.13019350419441858
grp-15	T2	17	0.2595434635877609	0.23550446980765888
grp-15	T2	18	0.14301282912492752	0.1116390439371268
grp-15	T2	19	0.22112801671028137	0.22960288954131744
grp-15	T2	20	0.2796138972043991	0.2821707393635403
grp-15	T2	21	0.14086556434631348	0.14086556434631348
grp-15	T2	22	0.13717676093801856	0.14542940050801811
grp-15	T2	23	0.24453197916348776	0.17893356093693347
grp-15	T2	24	0.3178266268223524	0.1700996425056803
grp-15	T2	25	0.37323921322822573	0.35025956424383015
grp-15	T3	10		
grp-15	T3	11	0.18485718667507173	0.15875821548473576
grp-15	T3	12		
grp-15	T3	13		
grp-15	T3	14		
grp-15	T3	15		
grp-15	T3	16	0.10501395165920258	0.08820382071038087
grp-15	T3	17	0.23690754920244217	0.2845524859925111
grp-15	T3	18	0.15969672054052353	0.19575975108891724
grp-15	T3	19	0.12086541422953208	0.140981973539437
grp-15	T3	20	0.14480127096176149	0.17819206416606903
grp-15	T3	21	0.12711617350578308	0.1263444279320538
grp-15	T3	22	0.33042749762535095	0.242362418635325
grp-15	T3	23	0.13470767935117087	0.08871310390532017
grp-16	T1	6		
