group_id	task_id	window_index	group_hr_mean_bpm_mean	group_hrv_rmssd_ms_mean	group_eda_phasic_rate_hz_mean	group_temp_mean_mean	group_et_pupil_mean_mean	group_et_blink_rate_per_min_mean	group_et_gaze_dispersion_mean	tr_spk_duration_s	tr_backchannel_count	tr_overlap_count	tr_competitive_overlap	cluster
grp-14	T2	9	-0.12774825340528875	-0.39948195829290095	1.1833312607458235	1.0552028479730418	3.1106	17.3366	0.2062	32.459	4.0	0.0	0.0	0
grp-14	T2	10	-0.5952920055309121	-0.3756217024676546	-0.6140375861376497	1.1986270776255017	3.0732	13.3447	0.1741	23.979	2.0	0.0	0.0	0
grp-14	T2	11	-0.28209778319231055	0.711251378309945	-0.8541660640812816	1.239080065476085	3.1803	13.0111	0.1782	32.015	4.0	2.0	2.0	0
grp-14	T2	12	0.023417202756844474	0.6104653782281957	0.10490995261573982	1.097494607998717	3.2555	21.5184	0.1836	34.303	4.0	6.0	1.0	0
grp-14	T2	13	0.3832487387776815	0.30819471420485345	0.10490995261573982	0.9393602009460449	3.2985	18.5158	0.1696	25.715	2.0	1.0	0.0	0
grp-14	T2	14	0.742409122024642	1.0523910278934092	1.3098660275664205	0.8455828200194967	3.3835	11.5021	0.1458	24.652	1.0	1.0	0.0	0
grp-14	T2	15	0.738007608484351	0.9180897526544917	2.2689420442634414	1.0239437209975257	3.435	18.5158	0.1627	28.262	4.0	0.0	0.0	0
grp-14	T2	16	0.46221064303418363	0.067443684893458	3.226580165882956	1.274016736801654	3.3926	28.5244	0.1673	28.679	5.0	2.0	2.0	0
grp-14	T2	17	0.9621570267542918	0.7167491934790492	1.4234597386894554	1.26850042027664	3.3962	30.0056	0.1726	16.9	3.0	0.0	0.0	0
grp-14	T2	18	1.1819205396879855	-0.09508902407719759	-0.13809431548290574	1.1986270776255017	3.4342	24.5209	0.1601	25.789	6.0	1.0	0.0	0
grp-14	T2	19	0.5095503258983795	-0.5275255932321149	-0.49181650454957343	1.0791068862484519	3.4226	19.5167	0.129	29.198	4.0	1.0	0.0	0
grp-14	T2	20	0.391583519736956	-1.328774293882025	1.1876449459783442	1.0827844305985048	3.4117	17.0032	0.1523	28.434	1.0	0.0	0.0	0
grp-14	T2	21	1.0649838749934375	-0.7581499876132874	0.2256931391263091	0.9926845940220097	3.3576	21.5184	0.175	9.624	2.0	2.0	1.0	0
grp-14	T2	22	1.0418056919887122	-0.8614119695861269	-0.6140375861376497	0.8088073765189665	3.3375	21.018	0.1702	14.562	0.0	2.0	0.0	0
grp-14	T2	23	0.4091583574900341	0.8907316811418333	-0.13378063025038547	0.5201201450390854	3.3757	17.5096	0.1615	13.973	1.0	1.0	0.0	0
grp-14	T2	24	-0.22648575218501446	-0.7819578417053885	-1.0942945420249135	0.48518347371351633	3.4124	18.0154	0.1522	1.301	0.0	0.0	0.0	0
grp-14	T3	0	0.9059050593812074	0.9749980348496982	-1.0957324371024206	-1.5264332857701919	3.3351	17.0032	0.0903	2.392	0.0	0.0	0.0	0
grp-14	T3	1	-0.30551008925769074	-2.6286123849710137	-1.5745514979121777	-1.202809382964742	3.3631	19.0162	0.1177	14.987	2.0	0.0	0.0	0
grp-14	T3	2	-1.4322663391641783	1.5139498602435264	-0.2531259216834481	-0.8534426697089205	3.3971	15.5133	0.1623	26.634	2.0	0.0	0.0	0
grp-14	T3	3	-1.303217708131808	-1.403673837790265	-0.8541660640812816	-0.8681528471091327	3.192	14.5027	0.1933	17.718	5.0	2.0	1.0	0
