group_id	task_id	window_index	window_start_s	group_hr_mean_bpm_mean	group_eda_phasic_rate_hz_mean	group_temp_mean_mean	group_et_pupil_mean_mean	tr_silence_duration_s	tr_backchannel_count	tr_laughter_count	tr_n_active_speakers	tr_ovl_count	tr_ovl_contested	tr_ovl_time_s	tr_ovl_collaboration_index
grp-16	T1	8	240.0	49.3438	0.0083	36.2183	3.006	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0
grp-16	T1	9	270.0	48.4637	0.025	36.2199	3.0137	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0
grp-16	T1	10	300.0	51.1234	0.0584	36.2276	3.0267	0.88	2.0	0.0	3.0	0.0	0.0	0.0	0.0
grp-16	T1	11	330.0	56.0248	0.0501	36.2467	2.9898	1.421	8.0	1.0	4.0	0.0	0.0	0.0	0.0
grp-16	T1	12	360.0	63.7191	0.0334	36.2815	2.94	0.621	2.0	0.0	2.0	0.0	0.0	0.0	0.0
grp-16	T1	13	390.0	65.3504	0.025	36.3125	2.9468	6.64	2.0	1.0	3.0	0.0	0.0	0.0	0.0
grp-16	T1	14	420.0	56.3002	0.0501	36.3321	2.9737	0.0	1.0	0.0	3.0	0.0	0.0	0.0	0.0
grp-16	T2	0	0.0	50.1483	0.0167	36.2667	2.9283	20.479	0.0	0.0	1.0	0.0	0.0	0.0	0.0
grp-16	T2	1	30.0	58.8254	0.0083	36.2691	2.9663	0.0	0.0	0.0	1.0	3.0	2.0	1.31	0.3333333333333333
grp-16	T2	2	60.0	65.7397	0.0334	36.28	2.9889	2.013	2.0	0.0	3.0	3.0	1.0	3.86	0.0
grp-16	T2	3	90.0	63.3735	0.0751	36.3012	2.9621	3.682	3.0	0.0	2.0	5.0	1.0	1.492	0.0
grp-16	T2	4	120.0	60.241	0.0834	36.329	2.9903	0.251	0.0	0.0	1.0	3.0	2.0	1.266	0.6666666666666666
grp-16	T2	5	150.0	52.4986	0.0668	36.3546	3.0006	4.821	4.0	0.0	2.0	4.0	3.0	6.633	0.75
grp-16	T2	6	180.0	61.6287	0.0668	36.3518	2.9727	1.399	3.0	0.0	1.0	8.0	7.0	10.858	0.5
grp-16	T2	7	210.0	50.5836	0.0751	36.3123	2.8435	1.586	4.0	0.0	2.0	10.0	5.0	6.703	0.3
grp-16	T2	8	240.0	57.2486	0.0584	36.2826	2.6741	5.22	4.0	0.0	1.0	2.0	1.0	1.181	0.0
grp-16	T2	9	270.0	63.205	0.0417	36.2661	2.6949	1.644	3.0	0.0	3.0	0.0	0.0	0.0	0.0
