group_hr_mean_bpm_mean	group_eda_phasic_rate_hz_mean	group_et_pupil_mean_mean	tr_silence_duration_s	tr_backchannel_count	tr_laughter_count	tr_n_active_speakers	tr_ovl_time_s	tr_ovl_competitive_timing	tr_ovl_collaboration_index	group_id	task_id	window_index
61.5489	0.0583	3.0328	1.143	1.0	0.0	2.0	0.0	0.0	0.0	grp-10	T2	8
59.1773	0.05	2.9314	3.783	1.0	0.0	1.0	0.0	0.0	0.0	grp-10	T2	9
69.5207	0.0	2.9807	0.42	0.0	0.0	1.0	0.22	0.0	1.0	grp-10	T2	10
85.0135	0.0	2.9975	5.934	2.0	0.0	2.0	0.176	0.0	0.5	grp-10	T2	11
90.7164	0.0	2.9355	0.06	0.0	0.0	2.0	0.378	0.0	1.0	grp-10	T2	12
87.3849	0.0334	2.9759	22.019	1.0	0.0	2.0	0.0	0.0	0.0	grp-10	T2	13
88.5277	0.1002	3.1097	0.0	0.0	0.0	2.0	0.0	0.0	0.0	grp-10	T2	14
100.2899	0.1001	3.2199	6.883	3.0	0.0	2.0	0.0	0.0	0.0	grp-10	T2	15
98.8612	0.0667	3.2695	3.622	1.0	0.0	2.0	0.0	0.0	0.0	grp-10	T2	16
65.7682	0.0334	3.0737	0.194	0.0	0.0	2.0	3.483	0.0	0.16666666666666666	grp-10	T3	0
73.5445	0.0333	3.1258	3.941	0.0	1.0	2.0	0.0	0.0	0.0	grp-10	T3	1
73.087	0.05	3.0734	5.636	0.0	1.0	1.0	2.199	1.0	0.5	grp-10	T3	2
75.1829	0.0584	2.8886	8.463	1.0	0.0	1.0	1.249	1.0	0.0	grp-10	T3	3
81.0787	0.0752	2.859	21.133	1.0	1.0	2.0	4.499	1.0	0.8	grp-10	T3	4
82.6551	0.0417	2.8423	5.146	2.0	0.0	3.0	5.841	3.0	0.3333333333333333	grp-10	T3	5
77.2723	0.0417	2.8509	12.345	4.0	1.0	2.0	1.777	2.0	0.5	grp-10	T3	6
75.0674	0.025	2.9066	14.799	1.0	0.0	2.0	0.0	0.0	0.0	grp-10	T3	7
82.9945	0.0584	2.9331	11.715	0.0	1.0	3.0	0.0	0.0	0.0	grp-10	T3	8
79.0499	0.0751	2.9076	5.824	2.0	0.0	4.0	0.0	0.0	0.0	grp-10	T3	9
64.0393	0.0668	2.9278	8.662	4.0	1.0	3.0	0.0	0.0	0.0	grp-10	T3	10
58.7523	0.0752	2.9512	10.855	1.0	0.0	4.0	0.0	0.0	0.0	grp-10	T3	11
49.6999	0.1338	2.9038	7.811	1.0	0.0	2.0	0.0	0.0	0.0	grp-11	T1	0
48.4451	0.1451	2.9171	5.511	2.0	0.0	3.0	0.0	0.0	0.0	grp-11	T1	1
65.8005	0.167	2.9701	7.39	3.0	0.0	4.0	0.0	0.0	0.0	grp-11	T1	2
72.7827	0.1506	2.9727	11.244	0.0	0.0	1.0	0.0	0.0	0.0	grp-11	T1	3
70.7961	0.1422	2.9002	14.614	3.0	0.0	2.0	0.0	0.0	0.0	grp-11	T1	4
54.6136	0.1586	2.9331	14.881	2.0	0.0	4.0	0.0	0.0	0.0	grp-11	T1	5
41.9826	0.209	2.8874	10.35	2.0	0.0	4.0	0.0	0.0	0.0	grp-11	T1	6
53.2891	0.2261	2.8297	20.641	8.0	1.0	3.0	0.0	0.0	0.0	grp-11	T1	7
72.2464	0.2346	2.8037	1.629	5.0	0.0	4.0	0.0	0.0	0.0	grp-11	T1	8
69.9723	0.2007	2.8224	1.268	6.0	0.0	3.0	0.0	0.0	0.0	grp-11	T1	9
68.0004	0.1838	2.863	8.051	5.0	0.0	4.0	0.0	0.0	0.0	grp-11	T1	10
54.9459	0.1588	2.835	26.758	2.0	5.0	2.0	0.0	0.0	0.0	grp-11	T1	11
66.3337	0.1674	2.8402	104.445	1.0	0.0	1.0	0.0	0.0	0.0	grp-11	T1	12
51.913	0.1757	2.9104	0.0	1.0	0.0	0.0	0.0	0.0	0.0	grp-11	T1	15
50.0689	0.259	2.9176	8.537	2.0	0.0	4.0	0.0	0.0	0.0	grp-11	T1	16
62.2975	0.3014	3.0139	4.14	3.0	0.0	2.0	0.0	0.0	0.0	grp-11	T1	17
72.9477	0.2672	3.1567	4.608	0.0	0.0	2.0	0.0	0.0	0.0	grp-11	T2	0
103.119	0.2087	3.1341	1.9	0.0	0.0	0.0	0.0	0.0	0.0	grp-11	T2	1
83.5415	0.1754	3.1276	97.6	0.0	0.0	0.0	0.0	0.0	0.0	grp-11	T2	2
87.3867	0.1253	2.7932	10.226	0.0	0.0	1.0	0.0	0.0	0.0	grp-11	T2	5
83.0617	0.1336	2.7907	8.228	4.0	0.0	3.0	0.0	0.0	0.0	grp-11	T2	6
103.9883	0.0586	2.848	4.419	1.0	0.0	2.0	0.0	0.0	0.0	grp-11	T2	7
89.8627	0.0668	2.9402	4.882	3.0	1.0	3.0	0.0	0.0	0.0	grp-11	T2	8
81.4661	0.1503	2.8889	5.043	4.0	0.0	2.0	0.0	0.0	0.0	grp-11	T2	9
85.6615	0.1924	3.0174	4.29	2.0	0.0	1.0	0.0	0.0	0.0	grp-11	T2	10
51.3273	0.2088	3.1624	3.35	3.0	0.0	2.0	0.0	0.0	0.0	grp-11	T2	11
