group_id	task_id	window_index	da_n_utterances	da_n_speakers	da_statement	da_proposal	da_agreement	da_disagreement	da_compromise	da_question	da_answer	da_backchannel	da_hedge	da_decision	da_offtask	da_dominant
grp-08	T2	8	1	1	0.11349509656429291	0.02022966928780079	0.06517475098371506	0.1440327763557434	0.015540949068963528	0.02038833312690258	0.004890176467597485	0.050166793167591095	0.4526786506175995	0.06790351122617722	0.04549930989742279	hedge
grp-08	T2	10	1	1	0.017762377858161926	0.6619875431060791	0.1305122822523117	0.001992883626371622	0.04125845804810524	0.01797175593674183	0.0034907949157059193	0.00421893410384655	0.03228939697146416	0.08445042371749878	0.004065241664648056	proposal
grp-08	T2	11	9	4	0.08739788250790702	0.03830461576581001	0.04150778096583155	0.06526575434125131	0.10764903140564759	0.027853894875281386	0.011536431007294191	0.0645456727490657	0.4573226835992601	0.050624559012552105	0.04799169891824325	hedge
grp-08	T2	12	8	4	0.19311692798510194	0.04083429544698447	0.047851961804553866	0.05745328380726278	0.12154321419075131	0.019783467083470896	0.0063950917101465166	0.06634802022017539	0.33438503043726087	0.05312885786406696	0.059159853335586376	hedge
grp-08	T2	13	4	1	0.06368841463699937	0.028913417365401983	0.033336300868541	0.04174244124442339	0.03674059780314565	0.016285835183225572	0.01839368761284277	0.07339433394372463	0.601467527449131	0.03586781118065119	0.05016964394599199	hedge
grp-08	T2	14	8	4	0.20452826283872128	0.03238924185279757	0.05244699877221137	0.07518442673608661	0.03682883991859853	0.02784492284990847	0.01411211711820215	0.07628913084045053	0.36745843291282654	0.0485583795234561	0.06435924692777917	hedge
grp-08	T2	15	6	3	0.09620781832685073	0.06448427401483059	0.04934843140654266	0.06276485572258632	0.056158420629799366	0.03599734526748458	0.014166045080249509	0.07020239407817523	0.44145197172959644	0.05816501239314675	0.051053453236818314	hedge
grp-08	T2	16	2	1	0.11742910742759705	0.02876837830990553	0.05971299298107624	0.0903601385653019	0.15044169314205647	0.03335194382816553	0.011296763084828854	0.059216203168034554	0.3324969410896301	0.05468258820474148	0.06224324181675911	hedge
grp-08	T2	17	5	2	0.10190905407071113	0.04934783149510622	0.053646381944417953	0.13133079521358013	0.04993646219372749	0.030703435000032187	0.00890172403305769	0.04436429105699062	0.4177438855171204	0.05671908780932426	0.05539702828973532	hedge
grp-08	T2	18	15	4	0.08503806044658026	0.03996666266272465	0.033823573403060435	0.06682132470111052	0.03194585394424697	0.021314350763956706	0.006233533766741554	0.06757840675612291	0.5583254069089889	0.046016013622283934	0.042936818674206734	hedge
grp-08	T2	19	8	4	0.06386667466722429	0.03784771671053022	0.027013549231924117	0.04269927856512368	0.1218100399710238	0.013741973525611684	0.0073190590483136475	0.1023011653451249	0.5234881900250912	0.0325380542781204	0.027374280500225723	hedge
grp-08	T2	20	5	2	0.1382966202683747	0.14471233785152435	0.027687078341841698	0.05749004948884249	0.15206683482974767	0.02298218375071883	0.0062959222355857495	0.050175007060170175	0.33256900012493135	0.03446701429784298	0.03325799135491252	hedge
