onset	duration	speaker	text	type	subtype	energy	energy_ratio	mic	confidence	gap_prev_ms	trp_silence_ms	interruption_gap_ms	bclatency_ms	overlap_ms
663.920	2.222	P3	So you got like more knowledge.	SPK		0.024028	4.84	mic11	manual	-817	320	20920		817
666.142	0.300	GROUP	(0.3)	SIL				shared	manual	0				
666.442	5.749	P3	But then after you need to apply your knowledge in a more like interactive way.	SPK		0.025988	5.43	mic11	manual	0	300	23442		46
672.145	0.910	P2	mm-hmm	BCK				shared	manual	-46			5703	910
672.191	1.078	GROUP	(1.1)	SIL				shared	manual	-864				1060
673.073	0.500	P4	mm-hmm	BCK				shared	manual	-196				500
673.269	8.289	P3	So I feel like ideally all the formats are good.	SPK		0.017984	2.90	mic11	manual	-304	1078	30269		544
673.720	0.240	P4	yeah	BCK		0.014020	1.65	mic12	manual	-7838			451	240
681.558	4.050	GROUP	(4.0)	SIL				shared	manual	7598				2330
681.969	1.970	GROUP	[GROUP LAUGHTER]	LAU				shared	manual	-3639				2330
683.139	0.360	P1	yeah	BCK		0.021503	1.32	mic9	manual	-800				720
685.608	2.000	P1	So...	SPK				shared	manual	2109	4050	4050		1076
687.070	1.501	P4	Yeah, I would go for the fourth one.	SPK		0.022052	5.03	mic12	manual	-538	-538	-538		1076
687.070	0.538	P4	[OVL:competitive]	OVL	competitive			shared	manual	-1501				1076
688.571	1.040	GROUP	(1.0)	SIL				shared	manual	963				
689.611	17.408	P4	But also from the point of view that it's a big corporation, so any opportunity that we can get to get closer and to work with people, to do this cross-collaboration, cross-department work, it helps for everyone's comfort in a big corporation.	SPK		0.013531	5.43	mic12	manual	0	1040	2003		
707.019	1.488	GROUP	(1.5)	SIL				shared	manual	0				0
708.507	0.360	P1	I agree.	SPK		0.017930	6.86	mic9	manual	0	1488	1488		0
708.867	5.121	GROUP	(5.1)	SIL				shared	manual	0				2240
709.907	2.240	P2	mmh, mmh	BCK				shared	manual	-4081				2240
713.988	3.942	P3	what is the easiest to implement first?	SPK		0.017018	4.83	mic11	manual	1841	5121	5121		0
717.930	1.261	GROUP	(1.3)	SIL				shared	manual	0				0
719.191	24.132	P3	Is it not like what we do right now with at the end like with online training and then you can like more like online training or lecture with like self-independent learning and then like you just like you know like you kind of have like phase one online training phase two like lecture and then phase three interactive informal workshop	SPK		0.019348	5.20	mic11	manual	0	1261	10324		
743.323	0.485	GROUP	(0.5)	SIL				shared	manual	0				
743.808	3.400	P1	But we're planning one workshop, not a series of workshops.	SPK		0.017104	2.24	mic9	manual	0	485	485		1548
746.408	0.541	P4	Good solution.	SPK		0.012096	1.11	mic12	manual	-800	-800	-800		1082
746.408	0.541	P4	[OVL:competitive]	OVL	competitive			shared	manual	-541				1082
746.949	0.491	GROUP	(0.5)	SIL				shared	manual	0				698
747.001	0.981	P4	We need to	BCK				shared	manual	-439			3193	1188
747.440	3.160	P3	Oh yeah... I won't say it's right.	SPK		0.052848	1.62	mic11	manual	-542	491	491		4133
748.171	1.971	P1	[LAUGHTER]	LAU				shared	manual	-2429				2675
749.790	1.552	P1	We don't have four days.	SPK		0.075392	1.03	mic9	manual	-352	-810	-810		2263
749.790	0.810	P1	[OVL:competitive]	OVL	competitive			shared	manual	-1552				1972
751.051	2.931	P4	[SOFT LAUGHTER]	LAU				shared	manual	451				2931
751.342	2.863	GROUP	(2.9)	SIL				shared	manual	-2640				2640
754.205	0.971	P3	My bad.	SPK		0.081151	1.29	mic11	manual	0	2863	2863		
755.176	12.178	GROUP	(12.2)	SIL				shared	manual	0				9389
755.195	3.149	GROUP	[GROUP LAUGHTER]	LAU				shared	manual	-12159				3149
761.042	1.552	P2	yeah	BCK				shared	manual	2698				1552
762.666	10.177	MODERATOR	[MOD_EVT:instruction]	MOD_EVT				shared	manual	72				10177
767.354	0.970	P4	We want more time.	SPK		0.023344	1.15	mic12	manual	-5489	12178	12178		970
768.324	2.914	GROUP	(2.9)	SIL				shared	manual	0				2914
771.238	2.200	P1	I sent it before so I will put it down	SPK				shared	manual	0	2914	2914		1605
773.438	0.375	GROUP	(0.4)	SIL				shared	manual	0				0
773.813	1.681	P3	You can go.	SPK		0.027258	1.12	mic11	manual	0	375	375		1414
774.380	0.300	P4	Okay.	SPK		0.034009	8.10	mic12	manual	-1114	-1114	-1114		600
774.380	0.300	P4	[OVL:smooth]	OVL	smooth			shared	manual	-300				600
774.680	1.521	GROUP	(1.5)	SIL				shared	manual	0				814
776.201	4.243	P4	So it's the second topic, how to work better across teams.	SPK		0.027994	5.92	mic12	manual	0	1521	707		224
780.332	0.728	P1	Yes	SPK				shared	manual	-112	-112	-112		224
780.332	0.112	P1	[OVL:smooth]	OVL	smooth			shared	manual	-728				224
781.104	1.641	P4	And the final answer.	SPK		0.037917	7.23	mic12	manual	660	44	44		
782.745	3.102	GROUP	(3.1)	SIL				shared	manual	0				
785.847	1.619	P4	Where do we go for the format?	SPK		0.044402	7.73	mic12	manual	0	3102	4787		
787.466	1.478	GROUP	(1.5)	SIL				shared	manual	0				
788.944	0.780	P2	I'd say two or three.	SPK		0.007877	3.65	mic10	manual	0	1478	1478		
789.724	1.361	GROUP	(1.4)	SIL				shared	manual	0				
791.085	0.400	P3	Lecture.	SPK		0.008830	4.65	mic11	manual	0	1361	1361		
791.485	4.043	GROUP	(4.0)	SIL				shared	manual	0				3571
791.957	4.520	GROUP	[GROUP LAUGHTER]	LAU				shared	manual	-3571				4520
795.528	1.140	P4	So it's two against two.	SPK		0.094830	2.32	mic12	manual	-949	4043	4043		949
796.668	1.240	GROUP	(1.2)	SIL				shared	manual	0				
797.908	1.060	P1	I would say three and four.	SPK		0.076188	4.66	mic9	manual	0	1240	1240		
798.968	2.141	GROUP	(2.1)	SIL				shared	manual	0				
801.109	1.261	P4	So you said two and three.	SPK		0.072796	7.32	mic12	manual	0	2141	2141		
802.370	0.660	GROUP	(0.7)	SIL				shared	manual	0				
803.030	0.620	P4	You said two.	SPK		0.047244	8.29	mic12	manual	0	660	4062		
803.650	0.140	GROUP	(.)	SIL				shared	manual	0				
803.790	0.940	P4	You said three and four.	SPK		0.034671	8.03	mic12	manual	0	140	4822		
804.730	0.060	GROUP	(.)	SIL				shared	manual	0				
804.790	0.200	P1	Yes.	SPK		0.012317	6.37	mic9	manual	0	60	60		
804.990	0.420	GROUP	(0.4)	SIL				shared	manual	0				
805.410	1.321	P4	Then three wins probably.	SPK		0.039528	2.62	mic12	manual	0	420	420		
806.731	0.439	GROUP	(0.4)	SIL				shared	manual	0				
807.170	0.360	P1	Okay.	SPK		0.031068	2.02	mic9	manual	0	439	439		19
807.511	2.801	P4	If it's the most mentioned because I'm also going for three or four.	SPK		0.018192	6.61	mic12	manual	-19	-19	-19		19
810.312	1.259	GROUP	(1.3)	SIL				shared	manual	0				
811.571	0.200	P1	Yeah.	SPK		0.023756	6.94	mic9	manual	0	1259	1259		0
811.771	0.460	GROUP	(0.5)	SIL				shared	manual	0				0
812.231	1.248	P1	That's three out of four.	SPK		0.027213	1.24	mic9	manual	0	460	1919		894
812.532	0.600	P4	Okay.	BCK		0.027724	1.04	shared	manual	-947			301	600
813.332	0.821	P4	But do we all?	SPK		0.037504	8.19	mic12	manual	200	-147	-147		294
813.332	0.147	P4	[OVL:smooth]	OVL	smooth			shared	manual	-821				294
814.153	0.815	GROUP	(0.8)	SIL				shared	manual	674				0
814.968	0.621	P3	It's fair.	SPK		0.015611	4.83	mic11	manual	0	815	815		0
815.589	0.460	GROUP	(0.5)	SIL				shared	manual	0				0
816.049	1.020	P3	It's a democracy.	SPK		0.031122	1.96	mic11	manual	0	460	1896		0
817.069	2.405	GROUP	(2.4)	SIL				shared	manual	0				2022
